Hvul_v3_ATP6	MT_ATP6
Hvul_v3_XM_047284972.1	
Hvul_v3_XM_047284973.1	GAL3ST3
Hvul_v3_XM_047284974.1	SPEF2
Hvul_v3_XM_047284975.1	
Hvul_v3_XM_047284976.1	
Hvul_v3_XM_047284977.1	
Hvul_v3_XM_047284978.1	PIF1
Hvul_v3_XM_047284979.1	OTUD5
Hvul_v3_XM_047284980.1	
Hvul_v3_XM_047284981.1	KHDRBS2
Hvul_v3_XM_047284982.1	
Hvul_v3_XM_047284983.1	
Hvul_v3_XM_047284984.1	
Hvul_v3_XM_047284985.1	
Hvul_v3_XM_047284986.1	
Hvul_v3_XM_047284987.1	
Hvul_v3_XM_047284988.1	
Hvul_v3_XM_047284989.1	GTF2IRD2
Hvul_v3_XM_047284990.1	
Hvul_v3_XM_047284991.1	ZMYM1
Hvul_v3_XM_047284992.1	
Hvul_v3_XM_047284993.1	ZMYM1
Hvul_v3_XM_047284994.1	
Hvul_v3_XM_047284995.1	
Hvul_v3_XM_047284996.1	PIF1
Hvul_v3_XM_047284997.1	HARBI1
Hvul_v3_XM_047284999.1	
Hvul_v3_XM_047285000.1	HARBI1
Hvul_v3_XM_047285001.1	
Hvul_v3_XM_047285002.1	PIF1
Hvul_v3_XM_047285003.1	MARCHF3
Hvul_v3_XM_047285004.1	
Hvul_v3_XM_047285005.1	
Hvul_v3_XM_047285006.1	
Hvul_v3_XM_047285007.1	
Hvul_v3_XM_047285008.1	
Hvul_v3_XM_047285009.1	
Hvul_v3_XM_047285010.1	PIF1
Hvul_v3_XM_047285011.1	
Hvul_v3_XM_047285012.1	
Hvul_v3_XM_047285013.1	TMEM175
Hvul_v3_XM_047285014.1	
Hvul_v3_XM_047285015.1	TMEM175
Hvul_v3_XM_047285016.1	THAP2
Hvul_v3_XM_047285017.1	
Hvul_v3_XM_047285018.1	
Hvul_v3_XM_047285019.1	
Hvul_v3_XM_047285020.1	HRH2
Hvul_v3_XM_047285021.1	
Hvul_v3_XM_047285022.1	ZBED4
Hvul_v3_XM_047285023.1	TIGD1
Hvul_v3_XM_047285024.1	
Hvul_v3_XM_047285025.1	PARP1
Hvul_v3_XM_047285026.1	VRTN
Hvul_v3_XM_047285027.1	
Hvul_v3_XM_047285028.1	
Hvul_v3_XM_047285029.1	
Hvul_v3_XM_047285030.1	
Hvul_v3_XM_047285031.1	ZMYM1
Hvul_v3_XM_047285032.1	ADRB2
Hvul_v3_XM_047285033.1	ADRB2
Hvul_v3_XM_047285034.1	
Hvul_v3_XM_047285035.1	ZBED4
Hvul_v3_XM_047285036.1	
Hvul_v3_XM_047285037.1	
Hvul_v3_XM_047285038.1	
Hvul_v3_XM_047285039.1	
Hvul_v3_XM_047285040.1	
Hvul_v3_XM_047285041.1	
Hvul_v3_XM_047285042.1	
Hvul_v3_XM_047285043.1	HMMR
Hvul_v3_XM_047285044.1	
Hvul_v3_XM_047285045.1	
Hvul_v3_XM_047285046.1	
Hvul_v3_XM_047285047.1	
Hvul_v3_XM_047285048.1	
Hvul_v3_XM_047285049.1	HMCN1
Hvul_v3_XM_047285050.1	NAA15
Hvul_v3_XM_047285051.1	
Hvul_v3_XM_047285052.1	C15orf40
Hvul_v3_XM_047285053.1	
Hvul_v3_XM_047285054.1	
Hvul_v3_XM_047285056.1	
Hvul_v3_XM_047285057.1	
Hvul_v3_XM_047285058.1	ZMYM1
Hvul_v3_XM_047285059.1	
Hvul_v3_XM_047285060.1	ZMYM1
Hvul_v3_XM_047285061.1	
Hvul_v3_XM_047285063.1	
Hvul_v3_XM_047285064.1	
Hvul_v3_XM_047285065.1	
Hvul_v3_XM_047285066.1	
Hvul_v3_XM_047285067.1	ZMYM1
Hvul_v3_XM_047285068.1	
Hvul_v3_XM_047285070.1	
Hvul_v3_XM_047285071.1	PIF1
Hvul_v3_XM_047285072.1	
Hvul_v3_XM_047285073.1	THAP11
Hvul_v3_XM_047285074.1	
Hvul_v3_XM_047285075.1	ERCC6
Hvul_v3_XM_047285076.1	
Hvul_v3_XM_047285077.1	TAF3
Hvul_v3_XM_047285078.1	
Hvul_v3_XM_047285079.1	
Hvul_v3_XM_047285080.1	ZMYM5
Hvul_v3_XM_047285081.1	
Hvul_v3_XM_047285082.1	
Hvul_v3_XM_047285083.1	JRKL
Hvul_v3_XM_047285084.1	
Hvul_v3_XM_047285085.1	
Hvul_v3_XM_047285086.1	HARBI1
Hvul_v3_XM_047285087.1	
Hvul_v3_XM_047285088.1	PIF1
Hvul_v3_XM_047285089.1	THAP12
Hvul_v3_XM_047285090.1	
Hvul_v3_XM_047285091.1	
Hvul_v3_XM_047285092.1	
Hvul_v3_XM_047285093.1	
Hvul_v3_XM_047285094.1	
Hvul_v3_XM_047285095.1	THAP12
Hvul_v3_XM_047285096.1	ZMYM1
Hvul_v3_XM_047285097.1	ZMYM1
Hvul_v3_XM_047285098.1	
Hvul_v3_XM_047285099.1	
Hvul_v3_XM_047285100.1	DUT
Hvul_v3_XM_047285101.1	ZMYM1
Hvul_v3_XM_047285102.1	
Hvul_v3_XM_047285103.1	THAP12
Hvul_v3_XM_047285104.1	MGRN1
Hvul_v3_XM_047285105.1	JRKL
Hvul_v3_XM_047285106.1	ZSWIM1
Hvul_v3_XM_047285107.1	SLC32A1
Hvul_v3_XM_047285108.1	PIF1
Hvul_v3_XM_047285109.1	ZMYM1
Hvul_v3_XM_047285110.1	PGBD4
Hvul_v3_XM_047285111.1	ZMYM1
Hvul_v3_XM_047285112.1	CARF
Hvul_v3_XM_047285113.1	
Hvul_v3_XM_047285114.1	HMCN2
Hvul_v3_XM_047285115.1	JRKL
Hvul_v3_XM_047285116.1	
Hvul_v3_XM_047285117.1	ZDHHC1
Hvul_v3_XM_047285118.1	PIF1
Hvul_v3_XM_047285119.1	
Hvul_v3_XM_047285120.1	
Hvul_v3_XM_047285121.1	
Hvul_v3_XM_047285122.1	
Hvul_v3_XM_047285123.1	
Hvul_v3_XM_047285124.1	
Hvul_v3_XM_047285125.1	THAP12
Hvul_v3_XM_047285126.1	
Hvul_v3_XM_047285127.1	
Hvul_v3_XM_047285129.1	
Hvul_v3_XM_047285130.1	THAP12
Hvul_v3_XM_047285131.1	KIAA1586
Hvul_v3_XM_047285133.1	
Hvul_v3_XM_047285134.1	
Hvul_v3_XM_047285135.1	
Hvul_v3_XM_047285136.1	ZMYM1
Hvul_v3_XM_047285137.1	
Hvul_v3_XM_047285138.1	
Hvul_v3_XM_047285139.1	SELENOI
Hvul_v3_XM_047285140.1	
Hvul_v3_XM_047285141.1	
Hvul_v3_XM_047285142.1	PGBD1
Hvul_v3_XM_047285143.1	PGBD2
Hvul_v3_XM_047285144.1	HARBI1
Hvul_v3_XM_047285145.1	ZBED4
Hvul_v3_XM_047285146.1	
Hvul_v3_XM_047285147.1	
Hvul_v3_XM_047285148.1	
Hvul_v3_XM_047285149.1	
Hvul_v3_XM_047285150.1	
Hvul_v3_XM_047285151.1	
Hvul_v3_XM_047285152.1	
Hvul_v3_XM_047285153.1	ZMYM1
Hvul_v3_XM_047285154.1	CCR8
Hvul_v3_XM_047285155.1	
Hvul_v3_XM_047285156.1	
Hvul_v3_XM_047285157.1	ERCC6
Hvul_v3_XM_047285158.1	PGBD4
Hvul_v3_XM_047285159.1	THAP11
Hvul_v3_XM_047285160.1	ZMYM5
Hvul_v3_XM_047285161.1	
Hvul_v3_XM_047285162.1	
Hvul_v3_XM_047285163.1	THAP12
Hvul_v3_XM_047285164.1	
Hvul_v3_XM_047285165.1	GOLPH3
Hvul_v3_XM_047285166.1	THAP11
Hvul_v3_XM_047285167.1	
Hvul_v3_XM_047285168.1	ZMYM1
Hvul_v3_XM_047285169.1	
Hvul_v3_XM_047285171.1	
Hvul_v3_XM_047285172.1	ZBED4
Hvul_v3_XM_047285173.1	
Hvul_v3_XM_047285174.1	GDPD1
Hvul_v3_XM_047285176.1	
Hvul_v3_XM_047285177.1	
Hvul_v3_XM_047285178.1	
Hvul_v3_XM_047285179.1	
Hvul_v3_XM_047285180.1	
Hvul_v3_XM_047285181.1	
Hvul_v3_XM_047285182.1	
Hvul_v3_XM_047285183.1	
Hvul_v3_XM_047285184.1	ZMYM1
Hvul_v3_XM_047285185.1	
Hvul_v3_XM_047285186.1	PGBD2
Hvul_v3_XM_047285187.1	
Hvul_v3_XM_047285188.1	
Hvul_v3_XM_047285189.1	PIF1
Hvul_v3_XM_047285190.1	
Hvul_v3_XM_047285191.1	
Hvul_v3_XM_047285192.1	GTF2IRD2
Hvul_v3_XM_047285193.1	
Hvul_v3_XM_047285194.1	
Hvul_v3_XM_047285195.1	POLR3B
Hvul_v3_XM_047285196.1	ZMYM1
Hvul_v3_XM_047285197.1	
Hvul_v3_XM_047285198.1	
Hvul_v3_XM_047285199.1	ADGRB2
Hvul_v3_XM_047285200.1	HMCN1
Hvul_v3_XM_047285201.1	ZBED4
Hvul_v3_XM_047285202.1	
Hvul_v3_XM_047285203.1	PIF1
Hvul_v3_XM_047285204.1	PARVA
Hvul_v3_XM_047285205.1	
Hvul_v3_XM_047285206.1	
Hvul_v3_XM_047285207.1	PGBD2
Hvul_v3_XM_047285208.1	PGBD4
Hvul_v3_XM_047285209.1	
Hvul_v3_XM_047285210.1	
Hvul_v3_XM_047285211.1	
Hvul_v3_XM_047285212.1	
Hvul_v3_XM_047285213.1	
Hvul_v3_XM_047285214.1	
Hvul_v3_XM_047285215.1	
Hvul_v3_XM_047285216.1	MYO1E
Hvul_v3_XM_047285217.1	PPP5C
Hvul_v3_XM_047285220.1	
Hvul_v3_XM_047285221.1	
Hvul_v3_XM_047285224.1	OPN3
Hvul_v3_XM_047285225.1	HFM1
Hvul_v3_XM_047285226.1	
Hvul_v3_XM_047285228.1	HERC1
Hvul_v3_XM_047285231.1	DPH7
Hvul_v3_XM_047285234.1	NUDT9
Hvul_v3_XM_047285236.1	
Hvul_v3_XM_047285237.1	
Hvul_v3_XM_047285238.1	ARSJ
Hvul_v3_XM_047285243.1	TRAPPC11
Hvul_v3_XM_047285244.1	UBE3B
Hvul_v3_XM_047285249.1	
Hvul_v3_XM_047285250.1	
Hvul_v3_XM_047285252.1	
Hvul_v3_XM_047285254.1	SLC13A5
Hvul_v3_XM_047285258.1	ATXN2
Hvul_v3_XM_047285259.1	
Hvul_v3_XM_047285264.1	OTUD5
Hvul_v3_XM_047285266.1	FBXL13
Hvul_v3_XM_047285269.1	HEATR6
Hvul_v3_XM_047285270.1	ADGRG2
Hvul_v3_XM_047285271.1	
Hvul_v3_XM_047285278.1	RET
Hvul_v3_XM_047285280.1	MAP3K3
Hvul_v3_XM_047285283.1	
Hvul_v3_XM_047285284.1	
Hvul_v3_XM_047285285.1	CENPJ
Hvul_v3_XM_047285287.1	USP32
Hvul_v3_XM_047285290.1	DNAH10
Hvul_v3_XM_047285291.1	ZMYM1
Hvul_v3_XM_047285292.1	
Hvul_v3_XM_047285293.1	
Hvul_v3_XM_047285294.1	JRKL
Hvul_v3_XM_047285295.1	
Hvul_v3_XM_047285296.1	
Hvul_v3_XM_047285297.1	
Hvul_v3_XM_047285298.1	RNF166
Hvul_v3_XM_047285299.1	IMPDH1
Hvul_v3_XM_047285300.1	
Hvul_v3_XM_047285301.1	MEP1B
Hvul_v3_XM_047285302.1	PGBD1
Hvul_v3_XM_047285303.1	
Hvul_v3_XM_047285304.1	
Hvul_v3_XM_047285305.1	
Hvul_v3_XM_047285306.1	
Hvul_v3_XM_047285307.1	L1TD1
Hvul_v3_XM_047285308.1	
Hvul_v3_XM_047285309.1	
Hvul_v3_XM_047285310.1	ZMYM5
Hvul_v3_XM_047285311.1	PIF1
Hvul_v3_XM_047285312.1	PPP6C
Hvul_v3_XM_047285313.1	
Hvul_v3_XM_047285314.1	ZMYM1
Hvul_v3_XM_047285315.1	
Hvul_v3_XM_047285316.1	JRK
Hvul_v3_XM_047285317.1	HARBI1
Hvul_v3_XM_047285318.1	
Hvul_v3_XM_047285319.1	
Hvul_v3_XM_047285320.1	THAP2
Hvul_v3_XM_047285321.1	
Hvul_v3_XM_047285322.1	
Hvul_v3_XM_047285323.1	
Hvul_v3_XM_047285324.1	
Hvul_v3_XM_047285325.1	
Hvul_v3_XM_047285326.1	SPEF2
Hvul_v3_XM_047285327.1	
Hvul_v3_XM_047285328.1	
Hvul_v3_XM_047285330.1	ZMYM1
Hvul_v3_XM_047285331.1	DUT
Hvul_v3_XM_047285332.1	
Hvul_v3_XM_047285333.1	
Hvul_v3_XM_047285334.1	
Hvul_v3_XM_047285335.1	
Hvul_v3_XM_047285337.1	
Hvul_v3_XM_047285338.1	
Hvul_v3_XM_047285339.1	
Hvul_v3_XM_047285340.1	
Hvul_v3_XM_047285341.1	
Hvul_v3_XM_047285342.1	
Hvul_v3_XM_047285343.1	
Hvul_v3_XM_047285344.1	
Hvul_v3_XM_047285345.1	
Hvul_v3_XM_047285346.1	FUT8
Hvul_v3_XM_047285347.1	
Hvul_v3_XM_047285348.1	ARL14EP
Hvul_v3_XM_047285349.1	
Hvul_v3_XM_047285350.1	
Hvul_v3_XM_047285351.1	SASS6
Hvul_v3_XM_047285352.1	
Hvul_v3_XM_047285353.1	PIF1
Hvul_v3_XM_047285354.1	B3GLCT
Hvul_v3_XM_047285355.1	
Hvul_v3_XM_047285356.1	
Hvul_v3_XM_047285357.1	
Hvul_v3_XM_047285358.1	ZNF574
Hvul_v3_XM_047285359.1	ZBED1
Hvul_v3_XM_047285360.1	
Hvul_v3_XM_047285361.1	
Hvul_v3_XM_047285362.1	ZMYM1
Hvul_v3_XM_047285363.1	THBS1
Hvul_v3_XM_047285364.1	
Hvul_v3_XM_047285365.1	
Hvul_v3_XM_047285366.1	PIF1
Hvul_v3_XM_047285367.1	PIF1
Hvul_v3_XM_047285368.1	PIF1
Hvul_v3_XM_047285369.1	
Hvul_v3_XM_047285370.1	HARBI1
Hvul_v3_XM_047285371.1	
Hvul_v3_XM_047285372.1	
Hvul_v3_XM_047285373.1	
Hvul_v3_XM_047285374.1	
Hvul_v3_XM_047285375.1	CARF
Hvul_v3_XM_047285376.1	
Hvul_v3_XM_047285377.1	
Hvul_v3_XM_047285378.1	PIF1
Hvul_v3_XM_047285379.1	
Hvul_v3_XM_047285380.1	IPO9
Hvul_v3_XM_047285381.1	PGBD4
Hvul_v3_XM_047285382.1	THAP12
Hvul_v3_XM_047285383.1	
Hvul_v3_XM_047285384.1	
Hvul_v3_XM_047285385.1	
Hvul_v3_XM_047285386.1	AP1B1
Hvul_v3_XM_047285387.1	
Hvul_v3_XM_047285388.1	PIF1
Hvul_v3_XM_047285389.1	
Hvul_v3_XM_047285390.1	BUD23
Hvul_v3_XM_047285391.1	
Hvul_v3_XM_047285392.1	
Hvul_v3_XM_047285393.1	
Hvul_v3_XM_047285394.1	AASDH
Hvul_v3_XM_047285395.1	COL28A1
Hvul_v3_XM_047285396.1	
Hvul_v3_XM_047285397.1	ZMYM1
Hvul_v3_XM_047285398.1	ZMYM5
Hvul_v3_XM_047285399.1	
Hvul_v3_XM_047285400.1	ATP9B
Hvul_v3_XM_047285401.1	AP4E1
Hvul_v3_XM_047285403.1	ZBTB26
Hvul_v3_XM_047285404.1	TSNARE1
Hvul_v3_XM_047285406.1	
Hvul_v3_XM_047285407.1	
Hvul_v3_XM_047285408.1	
Hvul_v3_XM_047285409.1	GIN1
Hvul_v3_XM_047285410.1	ZSWIM9
Hvul_v3_XM_047285411.1	
Hvul_v3_XM_047285412.1	
Hvul_v3_XM_047285413.1	
Hvul_v3_XM_047285414.1	
Hvul_v3_XM_047285415.1	
Hvul_v3_XM_047285416.1	
Hvul_v3_XM_047285417.1	ZBED4
Hvul_v3_XM_047285418.1	
Hvul_v3_XM_047285419.1	DENND5B
Hvul_v3_XM_047285420.1	
Hvul_v3_XM_047285421.1	
Hvul_v3_XM_047285422.1	ZMYM1
Hvul_v3_XM_047285423.1	TMEM63A
Hvul_v3_XM_047285424.1	
Hvul_v3_XM_047285425.1	
Hvul_v3_XM_047285426.1	
Hvul_v3_XM_047285427.1	
Hvul_v3_XM_047285428.1	DMBT1
Hvul_v3_XM_047285430.1	RET
Hvul_v3_XM_047285431.1	PIF1
Hvul_v3_XM_047285432.1	DMBT1
Hvul_v3_XM_047285433.1	
Hvul_v3_XM_047285434.1	
Hvul_v3_XM_047285435.1	
Hvul_v3_XM_047285436.1	
Hvul_v3_XM_047285437.1	
Hvul_v3_XM_047285438.1	
Hvul_v3_XM_047285439.1	
Hvul_v3_XM_047285440.1	
Hvul_v3_XM_047285441.1	ARL14EP
Hvul_v3_XM_047285444.1	PCGF5
Hvul_v3_XM_047285445.1	UNC93A
Hvul_v3_XM_047285446.1	
Hvul_v3_XM_047285447.1	
Hvul_v3_XM_047285448.1	
Hvul_v3_XM_047285449.1	THAP12
Hvul_v3_XM_047285450.1	THAP12
Hvul_v3_XM_047285451.1	
Hvul_v3_XM_047285452.1	
Hvul_v3_XM_047285453.1	
Hvul_v3_XM_047285454.1	
Hvul_v3_XM_047285455.1	NPFFR2
Hvul_v3_XM_047285456.1	
Hvul_v3_XM_047285457.1	
Hvul_v3_XM_047285459.1	
Hvul_v3_XM_047285460.1	ZMYM1
Hvul_v3_XM_047285461.1	HARBI1
Hvul_v3_XM_047285462.1	HARBI1
Hvul_v3_XM_047285463.1	
Hvul_v3_XM_047285464.1	HARBI1
Hvul_v3_XM_047285465.1	
Hvul_v3_XM_047285466.1	
Hvul_v3_XM_047285467.1	
Hvul_v3_XM_047285468.1	
Hvul_v3_XM_047285469.1	
Hvul_v3_XM_047285470.1	KIAA0513
Hvul_v3_XM_047285471.1	ZMYM1
Hvul_v3_XM_047285472.1	THAP11
Hvul_v3_XM_047285473.1	
Hvul_v3_XM_047285474.1	TAF3
Hvul_v3_XM_047285475.1	
Hvul_v3_XM_047285476.1	YIPF5
Hvul_v3_XM_047285477.1	PIF1
Hvul_v3_XM_047285478.1	ZMYM5
Hvul_v3_XM_047285479.1	ZMYM1
Hvul_v3_XM_047285480.1	ZBED4
Hvul_v3_XM_047285481.1	HARBI1
Hvul_v3_XM_047285482.1	
Hvul_v3_XM_047285483.1	
Hvul_v3_XM_047285484.1	ZMYM1
Hvul_v3_XM_047285485.1	USP30
Hvul_v3_XM_047285486.1	ZMYM5
Hvul_v3_XM_047285487.1	PIF1
Hvul_v3_XM_047285488.1	GTF2IRD2
Hvul_v3_XM_047285489.1	GTF2IRD2
Hvul_v3_XM_047285490.1	
Hvul_v3_XM_047285491.1	TEC
Hvul_v3_XM_047285492.1	
Hvul_v3_XM_047285493.1	PGBD4
Hvul_v3_XM_047285494.1	
Hvul_v3_XM_047285496.1	
Hvul_v3_XM_047285497.1	
Hvul_v3_XM_047285498.1	
Hvul_v3_XM_047285499.1	
Hvul_v3_XM_047285500.1	ZMYM1
Hvul_v3_XM_047285501.1	
Hvul_v3_XM_047285503.1	
Hvul_v3_XM_047285504.1	
Hvul_v3_XM_047285505.1	ZMYM1
Hvul_v3_XM_047285506.1	THAP12
Hvul_v3_XM_047285508.1	
Hvul_v3_XM_047285509.1	TIGD4
Hvul_v3_XM_047285510.1	
Hvul_v3_XM_047285511.1	
Hvul_v3_XM_047285512.1	
Hvul_v3_XM_047285513.1	
Hvul_v3_XM_047285514.1	
Hvul_v3_XM_047285515.1	
Hvul_v3_XM_047285516.1	
Hvul_v3_XM_047285517.1	ADGRG4
Hvul_v3_XM_047285518.1	
Hvul_v3_XM_047285519.1	
Hvul_v3_XM_047285520.1	
Hvul_v3_XM_047285522.1	GTPBP10
Hvul_v3_XM_047285523.1	ZMYM6
Hvul_v3_XM_047285524.1	
Hvul_v3_XM_047285525.1	
Hvul_v3_XM_047285526.1	PIF1
Hvul_v3_XM_047285527.1	
Hvul_v3_XM_047285528.1	
Hvul_v3_XM_047285529.1	RET
Hvul_v3_XM_047285530.1	CSE1L
Hvul_v3_XM_047285531.1	
Hvul_v3_XM_047285532.1	
Hvul_v3_XM_047285533.1	
Hvul_v3_XM_047285534.1	
Hvul_v3_XM_047285535.1	ZMYM5
Hvul_v3_XM_047285536.1	
Hvul_v3_XM_047285537.1	ZMYM5
Hvul_v3_XM_047285538.1	
Hvul_v3_XM_047285539.1	JRKL
Hvul_v3_XM_047285540.1	EPB41L3
Hvul_v3_XM_047285541.1	THAP4
Hvul_v3_XM_047285542.1	
Hvul_v3_XM_047285543.1	
Hvul_v3_XM_047285544.1	
Hvul_v3_XM_047285545.1	
Hvul_v3_XM_047285546.1	MIB1
Hvul_v3_XM_047285547.1	
Hvul_v3_XM_047285548.1	KMT5A
Hvul_v3_XM_047285549.1	ZBED9
Hvul_v3_XM_047285550.1	SRA1
Hvul_v3_XM_047285551.1	
Hvul_v3_XM_047285552.1	ZBED5
Hvul_v3_XM_047285553.1	
Hvul_v3_XM_047285555.1	
Hvul_v3_XM_047285556.1	
Hvul_v3_XM_047285557.1	
Hvul_v3_XM_047285558.1	
Hvul_v3_XM_047285559.1	
Hvul_v3_XM_047285560.1	
Hvul_v3_XM_047285562.1	FAM200A
Hvul_v3_XM_047285563.1	ZBED9
Hvul_v3_XM_047285564.1	
Hvul_v3_XM_047285565.1	GVQW3
Hvul_v3_XM_047285566.1	
Hvul_v3_XM_047285567.1	ZMYM5
Hvul_v3_XM_047285568.1	CEP135
Hvul_v3_XM_047285569.1	PRPF8
Hvul_v3_XM_047285570.1	
Hvul_v3_XM_047285574.1	RFC2
Hvul_v3_XM_047285576.1	
Hvul_v3_XM_047285578.1	
Hvul_v3_XM_047285580.1	ANKRD40CL
Hvul_v3_XM_047285581.1	
Hvul_v3_XM_047285582.1	
Hvul_v3_XM_047285583.1	NFATC2IP
Hvul_v3_XM_047285584.1	TBCCD1
Hvul_v3_XM_047285588.1	
Hvul_v3_XM_047285589.1	
Hvul_v3_XM_047285590.1	
Hvul_v3_XM_047285591.1	
Hvul_v3_XM_047285592.1	
Hvul_v3_XM_047285597.1	RAD51C
Hvul_v3_XM_047285600.1	ACOX3
Hvul_v3_XM_047285601.1	
Hvul_v3_XM_047285602.1	TRIM37
Hvul_v3_XM_047285606.1	TBL2
Hvul_v3_XM_047285607.1	SH3PXD2B
Hvul_v3_XM_047285609.1	
Hvul_v3_XM_047285610.1	
Hvul_v3_XM_047285611.1	PPP1R42
Hvul_v3_XM_047285613.1	
Hvul_v3_XM_047285614.1	
Hvul_v3_XM_047285615.1	MLXIP
Hvul_v3_XM_047285616.1	
Hvul_v3_XM_047285617.1	
Hvul_v3_XM_047285619.1	
Hvul_v3_XM_047285622.1	
Hvul_v3_XM_047285628.1	
Hvul_v3_XM_047285630.1	SIDT1
Hvul_v3_XM_047285631.1	MED15
Hvul_v3_XM_047285633.1	HMCN1
Hvul_v3_XM_047285637.1	TYW1
Hvul_v3_XM_047285638.1	ABCB10
Hvul_v3_XM_047285639.1	GLT1D1
Hvul_v3_XM_047285641.1	COMMD6
Hvul_v3_XM_047285643.1	SEC14L2
Hvul_v3_XM_047285645.1	RPH3A
Hvul_v3_XM_047285648.1	CTSV
Hvul_v3_XM_047285650.1	
Hvul_v3_XM_047285651.1	NLRP12
Hvul_v3_XM_047285655.1	
Hvul_v3_XM_047285661.1	
Hvul_v3_XM_047285667.1	
Hvul_v3_XM_047285668.1	
Hvul_v3_XM_047285670.1	AMDHD2
Hvul_v3_XM_047285671.1	
Hvul_v3_XM_047285679.1	
Hvul_v3_XM_047285680.1	HARBI1
Hvul_v3_XM_047285681.1	HIRA
Hvul_v3_XM_047285682.1	CNTLN
Hvul_v3_XM_047285690.1	
Hvul_v3_XM_047285691.1	HMCN1
Hvul_v3_XM_047285692.1	
Hvul_v3_XM_047285693.1	TCHP
Hvul_v3_XM_047285694.1	KSR2
Hvul_v3_XM_047285699.1	RMND1
Hvul_v3_XM_047285700.1	CCDC62
Hvul_v3_XM_047285702.1	
Hvul_v3_XM_047285703.1	HSD17B4
Hvul_v3_XM_047285705.1	RASEF
Hvul_v3_XM_047285711.1	
Hvul_v3_XM_047285713.1	LYPLA1
Hvul_v3_XM_047285714.1	PXN
Hvul_v3_XM_047285719.1	CASTOR1
Hvul_v3_XM_047285720.1	UFD1
Hvul_v3_XM_047285721.1	ADGRG4
Hvul_v3_XM_047285725.1	
Hvul_v3_XM_047285730.1	RPA1
Hvul_v3_XM_047285731.1	SBSPON
Hvul_v3_XM_047285732.1	ADGRG4
Hvul_v3_XM_047285738.1	PLBD2
Hvul_v3_XM_047285739.1	RET
Hvul_v3_XM_047285747.1	TRMT2A
Hvul_v3_XM_047285748.1	SLC15A4
Hvul_v3_XM_047285751.1	
Hvul_v3_XM_047285753.1	NOTUM
Hvul_v3_XM_047285754.1	
Hvul_v3_XM_047285755.1	
Hvul_v3_XM_047285759.1	
Hvul_v3_XM_047285760.1	
Hvul_v3_XM_047285761.1	
Hvul_v3_XM_047285765.1	ODC1
Hvul_v3_XM_047285776.1	P2RX4
Hvul_v3_XM_047285778.1	
Hvul_v3_XM_047285779.1	
Hvul_v3_XM_047285781.1	
Hvul_v3_XM_047285783.1	CPD
Hvul_v3_XM_047285784.1	EEFSEC
Hvul_v3_XM_047285785.1	HMCN1
Hvul_v3_XM_047285791.1	HPS4
Hvul_v3_XM_047285796.1	ODC1
Hvul_v3_XM_047285798.1	
Hvul_v3_XM_047285799.1	RPS6KB1
Hvul_v3_XM_047285801.1	
Hvul_v3_XM_047285803.1	
Hvul_v3_XM_047285804.1	
Hvul_v3_XM_047285805.1	STIP1
Hvul_v3_XM_047285806.1	MFSD9
Hvul_v3_XM_047285807.1	BUD23
Hvul_v3_XM_047285808.1	MND1
Hvul_v3_XM_047285809.1	
Hvul_v3_XM_047285810.1	NF1
Hvul_v3_XM_047285812.1	
Hvul_v3_XM_047285813.1	DRG1
Hvul_v3_XM_047285814.1	SYT10
Hvul_v3_XM_047285815.1	RAD54B
Hvul_v3_XM_047285816.1	GUSB
Hvul_v3_XM_047285817.1	NIF3L1
Hvul_v3_XM_047285820.1	MAPK1
Hvul_v3_XM_047285822.1	KIAA0753
Hvul_v3_XM_047285824.1	UBE2G1
Hvul_v3_XM_047285825.1	TADA2A
Hvul_v3_XM_047285826.1	CALM3
Hvul_v3_XM_047285833.1	MCM7
Hvul_v3_XM_047285834.1	KIF12
Hvul_v3_XM_047285838.1	GAS2L2
Hvul_v3_XM_047285840.1	NCBP3
Hvul_v3_XM_047285842.1	
Hvul_v3_XM_047285843.1	MNT
Hvul_v3_XM_047285844.1	RETSAT
Hvul_v3_XM_047285845.1	
Hvul_v3_XM_047285849.1	PKD2L2
Hvul_v3_XM_047285850.1	SPNS1
Hvul_v3_XM_047285851.1	GMCL1
Hvul_v3_XM_047285852.1	ASPDH
Hvul_v3_XM_047285858.1	COCH
Hvul_v3_XM_047285861.1	RWDD4
Hvul_v3_XM_047285862.1	CLIP1
Hvul_v3_XM_047285871.1	CLTC
Hvul_v3_XM_047285872.1	PPM1H
Hvul_v3_XM_047285874.1	RET
Hvul_v3_XM_047285877.1	AKR1B1
Hvul_v3_XM_047285878.1	
Hvul_v3_XM_047285880.1	
Hvul_v3_XM_047285881.1	
Hvul_v3_XM_047285882.1	
Hvul_v3_XM_047285884.1	
Hvul_v3_XM_047285886.1	
Hvul_v3_XM_047285887.1	GNB1L
Hvul_v3_XM_047285890.1	RIMBP2
Hvul_v3_XM_047285892.1	
Hvul_v3_XM_047285893.1	
Hvul_v3_XM_047285894.1	
Hvul_v3_XM_047285896.1	KMT5A
Hvul_v3_XM_047285898.1	
Hvul_v3_XM_047285902.1	SAMD3
Hvul_v3_XM_047285903.1	TRIM37
Hvul_v3_XM_047285905.1	LRWD1
Hvul_v3_XM_047285906.1	TLL1
Hvul_v3_XM_047285907.1	PPP1CA
Hvul_v3_XM_047285908.1	TSSK1B
